Dim1,Dim2,Treatment,Type
-0.6464629,-0.16962367,8,roberta-base Confounder
-2.569547,2.4679837,0,roberta-base Confounder
1.0613613,7.22309,6,roberta-base Confounder
2.6630924,-7.0274377,3,roberta-base Confounder
0.9151982,-5.6710763,2,roberta-base Confounder
4.917844,3.586388,9,roberta-base Confounder
3.687164,-0.19123015,6,roberta-base Confounder
4.153151,-8.617314,8,roberta-base Confounder
-1.5375531,-1.486019,0,roberta-base Confounder
-0.6016775,7.4628077,4,roberta-base Confounder
2.8167727,-5.218936,3,roberta-base Confounder
2.7666209,2.9777973,5,roberta-base Confounder
0.23210509,-8.825879,1,roberta-base Confounder
3.1957724,-6.558402,9,roberta-base Confounder
-2.3321726,6.185984,3,roberta-base Confounder
-3.4741006,2.9650395,8,roberta-base Confounder
-5.8888836,3.5231526,4,roberta-base Confounder
-1.4457818,-5.4649363,2,roberta-base Confounder
2.2288084,8.600297,4,roberta-base Confounder
1.7062482,-1.70841,8,roberta-base Confounder
-5.047792,3.5044906,6,roberta-base Confounder
1.8159044,4.602554,5,roberta-base Confounder
3.695796,1.6465312,2,roberta-base Confounder
0.24203956,-8.773745,9,roberta-base Confounder
-0.78204244,0.6133807,6,roberta-base Confounder
6.058306,2.7285488,1,roberta-base Confounder
-1.8120342,5.9001646,8,roberta-base Confounder
-2.109458,-0.63328254,3,roberta-base Confounder
1.1673937,2.343108,0,roberta-base Confounder
3.9803329,8.378019,8,roberta-base Confounder
-3.9128077,5.3525906,0,roberta-base Confounder
-0.3793215,2.7647145,5,roberta-base Confounder
3.7027237,8.705557,9,roberta-base Confounder
-1.6959567,-1.044266,0,roberta-base Confounder
-2.73856,-4.4014783,4,roberta-base Confounder
4.5745783,-7.0242896,7,roberta-base Confounder
0.433304,-1.2842282,3,roberta-base Confounder
3.5076504,3.6779516,7,roberta-base Confounder
3.2008333,-6.391583,4,roberta-base Confounder
4.117454,5.6634808,9,roberta-base Confounder
5.8624506,5.475929,2,roberta-base Confounder
-3.8082907,2.1405125,9,roberta-base Confounder
0.47833866,3.4483314,8,roberta-base Confounder
-2.807073,-2.1583176,9,roberta-base Confounder
-0.7236904,-6.718325,4,roberta-base Confounder
0.8636246,-3.5940907,3,roberta-base Confounder
0.8161117,-6.7274733,0,roberta-base Confounder
-2.1753328,6.002962,9,roberta-base Confounder
1.6152378,-6.2169824,8,roberta-base Confounder
-3.985216,0.5763603,7,roberta-base Confounder
4.095597,-3.8978672,6,roberta-base Confounder
-0.7955634,0.35957104,4,roberta-base Confounder
-4.16259,0.57651657,3,roberta-base Confounder
5.4981523,-7.8170094,3,roberta-base Confounder
2.5739915,-8.5264,2,roberta-base Confounder
1.6893266,4.429561,1,roberta-base Confounder
1.6239351,0.038240697,1,roberta-base Confounder
0.87534344,2.186339,8,roberta-base Confounder
1.883014,-7.45517,8,roberta-base Confounder
4.166582,2.4508712,7,roberta-base Confounder
4.7276454,-8.856686,3,roberta-base Confounder
-0.9974528,3.571645,0,roberta-base Confounder
3.706603,7.7430186,0,roberta-base Confounder
-4.795825,3.0520928,1,roberta-base Confounder
3.5125825,7.234817,3,roberta-base Confounder
3.6381238,-6.439933,0,roberta-base Confounder
-2.6729167,4.5171957,8,roberta-base Confounder
0.82942384,-5.7089167,6,roberta-base Confounder
2.5295565,-9.714592,4,roberta-base Confounder
2.371782,-3.9045858,8,roberta-base Confounder
-0.6602607,6.171106,1,roberta-base Confounder
4.435341,3.0954363,4,roberta-base Confounder
5.9287763,-5.718837,2,roberta-base Confounder
0.59160185,7.1927786,3,roberta-base Confounder
-0.15794718,-2.8610203,9,roberta-base Confounder
-1.7087904,-2.5814233,7,roberta-base Confounder
1.962095,-7.877026,2,roberta-base Confounder
0.77579266,5.9777565,7,roberta-base Confounder
4.815815,2.819143,1,roberta-base Confounder
-1.5186809,-4.860323,7,roberta-base Confounder
4.669142,-5.0483556,1,roberta-base Confounder
-1.9887433,-0.9628032,7,roberta-base Confounder
4.7297597,-9.159499,9,roberta-base Confounder
-1.4936962,-5.068069,7,roberta-base Confounder
1.712357,0.93668866,1,roberta-base Confounder
1.9641695,9.022439,3,roberta-base Confounder
-0.5361639,-6.5751996,6,roberta-base Confounder
1.0656912,7.359814,7,roberta-base Confounder
3.7461183,-3.5910795,6,roberta-base Confounder
1.2167482,0.5196889,9,roberta-base Confounder
2.4021294,1.8176727,5,roberta-base Confounder
2.3153179,-3.866461,8,roberta-base Confounder
3.8381588,-7.6969934,5,roberta-base Confounder
-0.19346572,-2.6919084,3,roberta-base Confounder
3.7473729,5.141865,7,roberta-base Confounder
1.2503089,2.0309086,9,roberta-base Confounder
-1.1743507,3.8841789,3,roberta-base Confounder
1.266889,-0.11163731,1,roberta-base Confounder
4.8943954,5.574878,1,roberta-base Confounder
1.5016909,-4.230165,4,roberta-base Confounder
